Interaction_Type,TP,TN,FP,FN,ALL, MCC,FSCORE,FM_INDEX,J_INDEX,PRECISION,RECALL,Specificity,BA,FOR,PT,CSI,MK,JBIndex
Cans,6,17,6,3,32,0.410001,0.645161,0.648204,0.47619,0.588235,0.714286,0.708333,0.71131,0.190476,0.265884,0.47619,0.397759,0.35294
wobbles,0,35,0,0,35,1,0,0,0,0,0,0.921053,0.460526,0,0.780655,0,0,0
NonCans,6,15,6,3,30,0.396788,0.647059,0.657376,0.478261,0.55,0.785714,0.625,0.705357,0.166667,0.199283,0.478261,0.383333,0.299999
